Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910832,100,GET,/get,1926.200000,0.000000,34,36,38,39,41,46,50,52,60,63,66,66763,0,33,32.0312757080242,5.704978997528087,177.60040100256447,54.78973383460899
1753910832,100,POST,/put,19.300000,0.000000,54,57,60,61,63,67,71,73,74,74,74,629,0,54,52.4151801335809,21.71207599894842,134.31985100032762,0.0
1753910832,100,,Aggregated,1945.500000,0.000000,34,37,38,39,42,47,51,54,63,73,74,67392,0,33,32.221527902404475,5.704978997528087,177.60040100256447,54.27835648148148
1753910833,100,GET,/get,1937.200000,0.000000,34,36,38,38,41,45,50,52,60,64,66,72622,0,33,32.202603372660036,5.704978997528087,177.60040100256447,54.96045275536339
1753910833,100,POST,/put,18.900000,0.000000,55,57,59,60,63,69,71,73,74,74,74,688,0,54,52.7386439753384,21.71207599894842,134.31985100032762,0.0
1753910833,100,,Aggregated,1956.100000,0.000000,34,36,38,39,41,47,52,54,63,73,74,73310,0,33,32.39533009390739,5.704978997528087,177.60040100256447,54.44465966443868
1753910834,100,GET,/get,1937.200000,0.000000,34,36,38,38,41,45,50,52,60,64,66,72622,0,33,32.202603372660036,5.704978997528087,177.60040100256447,54.96045275536339
1753910834,100,POST,/put,18.900000,0.000000,55,57,59,60,63,69,71,73,74,74,74,688,0,54,52.7386439753384,21.71207599894842,134.31985100032762,0.0
1753910834,100,,Aggregated,1956.100000,0.000000,34,36,38,39,41,47,52,54,63,73,74,73310,0,33,32.39533009390739,5.704978997528087,177.60040100256447,54.44465966443868
1753910835,100,GET,/get,1937.200000,0.000000,34,36,37,38,40,43,49,52,58,64,66,72622,0,33,32.202603372660036,5.704978997528087,177.60040100256447,54.96045275536339
1753910835,100,POST,/put,18.900000,0.000000,55,57,59,60,62,69,73,73,74,74,74,688,0,54,52.7386439753384,21.71207599894842,134.31985100032762,0.0
1753910835,100,,Aggregated,1956.100000,0.000000,34,36,37,38,40,46,51,54,63,73,74,73310,0,33,32.39533009390739,5.704978997528087,177.60040100256447,54.44465966443868
1753910836,100,GET,/get,1940.500000,0.000000,34,36,37,38,40,43,49,52,57,64,66,78502,0,33,32.323776150622805,5.704978997528087,177.60040100256447,55.113220045349166
1753910836,100,POST,/put,19.400000,0.000000,55,57,59,60,62,64,71,73,74,74,74,767,0,54,52.986337829268074,21.71207599894842,134.31985100032762,0.0
1753910836,100,,Aggregated,1959.900000,0.000000,34,36,37,38,40,45,51,55,62,73,74,79269,0,33,32.52370531344209,5.704978997528087,177.60040100256447,54.579949286606364
1753910837,100,GET,/get,1940.500000,0.000000,34,36,37,38,40,43,49,52,57,64,66,78502,0,33,32.323776150622805,5.704978997528087,177.60040100256447,55.113220045349166
1753910837,100,POST,/put,19.400000,0.000000,55,57,59,60,62,64,71,73,74,74,74,767,0,54,52.986337829268074,21.71207599894842,134.31985100032762,0.0
1753910837,100,,Aggregated,1959.900000,0.000000,34,36,37,38,40,45,51,55,62,73,74,79269,0,33,32.52370531344209,5.704978997528087,177.60040100256447,54.579949286606364
1753910838,100,GET,/get,1940.500000,0.000000,34,36,37,38,40,43,50,52,58,64,64,78502,0,33,32.323776150622805,5.704978997528087,177.60040100256447,55.113220045349166
1753910838,100,POST,/put,19.400000,0.000000,55,57,59,59,62,64,70,71,73,73,73,767,0,54,52.986337829268074,21.71207599894842,134.31985100032762,0.0
1753910838,100,,Aggregated,1959.900000,0.000000,34,36,37,38,40,45,52,55,63,71,73,79269,0,33,32.52370531344209,5.704978997528087,177.60040100256447,54.579949286606364
1753910839,100,GET,/get,1963.500000,0.000000,34,36,37,38,40,43,50,53,59,67,67,84374,0,33,32.450644717810164,5.704978997528087,177.60040100256447,55.24453030554436
1753910839,100,POST,/put,21.500000,0.000000,55,57,59,59,62,64,70,71,73,73,73,821,0,54,53.122597626103364,21.71207599894842,134.31985100032762,0.0
1753910839,100,,Aggregated,1985.000000,0.000000,34,36,37,38,40,46,52,55,63,71,73,85195,0,33,32.64985445239212,5.704978997528087,177.60040100256447,54.71215446915899
1753910840,100,GET,/get,1963.500000,0.000000,34,36,37,38,40,43,50,53,59,67,67,84374,0,33,32.450644717810164,5.704978997528087,177.60040100256447,55.24453030554436
